epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,0,,0.2925678491592407,,
0,1,,0.7964649200439453,,
,0,,,,0.41297289729118347
,1,,,,0.7967641949653625
0,1,,,0.5409033298492432,
0,1,0.4605335295200348,,,
1,2,,0.588390052318573,,
1,3,,0.44608500599861145,,
,2,,,,0.6214277148246765
,3,,,,0.3800105154514313
1,3,,,0.5409553050994873,
1,3,0.5409550070762634,,,
